,Date,Week,Profit,Profit(W),Profit(L),NumTrade,NumTrade(W),NumTrade(L),WinRate,ProfAve,ProfAve(W),ProfAve(L),Profit(Max),NumTrade(Max),Date(Datetime),Before type,Expansion type,After type,Expn lineage
237,2010.11.30,Tue,18.49999999999999,92.6,-74.10000000000001,6,2,4,0.3333333333333333,3.0833333333333317,46.3,-18.525000000000002,85.3,869,2010-11-30,,,,
238,2010.12.01,Wed,93.10000000000001,93.10000000000001,0.0,2,2,0,1.0,46.550000000000004,46.550000000000004,0.0,67.4,871,2010-12-01,,,,
239,2010.12.02,Thu,-16.000000000000007,61.099999999999994,-77.10000000000001,6,2,4,0.3333333333333333,-2.666666666666668,30.549999999999997,-19.275000000000002,39.8,877,2010-12-02,,,squeeze,
240,2010.12.03,Fri,14.7,14.7,0.0,1,1,0,1.0,14.7,14.7,0.0,14.7,879,2010-12-03,squeeze,expn more range,squeeze,expn range
241,2010.12.06,Mon,23.7,23.7,0.0,1,1,0,1.0,23.7,23.7,0.0,23.7,880,2010-12-06,,,,
242,2010.12.07,Tue,28.000000000000004,57.7,-29.7,3,2,1,0.6666666666666666,9.333333333333334,28.85,-29.7,45.7,883,2010-12-07,,,,
243,2010.12.08,Wed,-60.300000000000004,7.9,-68.2,4,1,3,0.25,-15.075000000000001,7.9,-22.733333333333334,7.9,887,2010-12-08,,,,
244,2010.12.09,Thu,13.9,13.9,0.0,1,1,0,1.0,13.9,13.9,0.0,13.9,888,2010-12-09,,,,
245,2010.12.10,Fri,-87.1,0.0,-87.1,6,0,6,0.0,-14.516666666666666,0.0,-14.516666666666666,-7.3,894,2010-12-10,,,,
246,2010.12.13,Mon,153.4,172.0,-18.6,2,1,1,0.5,76.7,172.0,-18.6,172.0,896,2010-12-13,squeeze,expansion,squeeze,expansion
247,2010.12.14,Tue,41.9,72.2,-30.3,3,2,1,0.6666666666666666,13.966666666666667,36.1,-30.3,40.4,897,2010-12-14,squeeze,expn inverse range,range,expn range
248,2010.12.15,Wed,66.19999999999999,92.6,-26.4,2,1,1,0.5,33.099999999999994,92.6,-26.4,92.6,901,2010-12-15,range,expansion,squeeze,expansion
249,2010.12.16,Thu,-53.7,40.2,-93.9,6,1,5,0.16666666666666666,-8.950000000000001,40.2,-18.78,40.2,907,2010-12-16,squeeze,fake inverse expn,range,expansion
250,2010.12.17,Fri,68.2,68.2,0.0,1,1,0,1.0,68.2,68.2,0.0,68.2,908,2010-12-17,range,expn inverse expn,squeeze,expn range
251,2010.12.20,Mon,-39.5,20.4,-59.9,5,1,4,0.2,-7.9,20.4,-14.975,20.4,913,2010-12-20,squeeze,range,squeeze,range
252,2010.12.21,Tue,9.400000000000002,31.1,-21.7,2,1,1,0.5,4.700000000000001,31.1,-21.7,31.1,915,2010-12-21,squeeze,expn range,squeeze,expn range
253,2010.12.22,Wed,-13.1,12.9,-26.0,2,1,1,0.5,-6.55,12.9,-26.0,12.9,917,2010-12-22,squeeze,range,squeeze,range
